,pid,tid,pos
0,2000,0,0
1,2000,1,1
2,2000,2,2
3,2000,3,3
4,2000,4,4
5,2000,5,5
6,2000,6,6
7,2000,7,7
8,2000,8,8
9,2000,9,9
10,2000,10,10
11,2000,11,11
12,2000,12,12
13,2000,13,13
14,2000,14,14
15,2000,15,15
16,2000,16,16
17,2000,17,17
18,2000,18,18
19,2000,19,19
20,2000,20,20
21,2000,21,21
22,2000,22,22
23,2000,23,23
24,2000,24,24
25,2000,25,25
26,2000,26,26
27,2000,27,27
28,2000,28,28
29,2000,29,29
30,2000,30,30
31,2000,31,31
32,2000,32,32
33,2000,33,33
34,2000,34,34
35,2000,35,35
36,2000,36,36
37,2000,37,37
38,2000,38,38
39,2000,39,39
40,2000,40,40
41,2000,41,41
42,2000,42,42
43,2000,43,43
44,2000,44,44
45,2000,45,45
46,2000,46,46
47,2000,47,47
48,2000,48,48
49,2000,49,49
50,2000,50,50
51,2000,51,51
52,2000,52,52
53,2000,53,53
54,2000,54,54
55,2000,55,55
56,2000,56,56
57,2000,57,57
58,2000,58,58
59,2000,59,59
60,2000,60,60
61,2000,61,61
62,2000,62,62
63,2000,63,63
64,2000,64,64
65,2000,65,65
66,2000,66,66
67,2000,67,67
68,2000,68,68
69,2000,69,69
70,2000,70,70
71,2000,71,71
72,2000,72,72
73,2000,73,73
74,2000,74,74
75,2000,75,75
76,2000,76,76
77,2000,77,77
78,2000,78,78
79,2000,79,79
80,2000,80,80
81,2000,81,81
82,2000,82,82
83,2000,83,83
84,2000,84,84
85,2000,85,85
86,2000,86,86
87,2000,87,87
88,2000,88,88
89,2000,89,89
90,2000,90,90
91,2000,91,91
92,2000,92,92
93,2000,93,93
94,2000,94,94
95,2000,95,95
96,2000,96,96
97,2000,97,97
98,2000,98,98
99,2000,99,99
100,2000,100,100
101,2000,101,101
102,2000,102,102
103,2000,103,103
104,2000,104,104
105,2000,105,105
106,2000,106,106
107,2000,107,107
108,2000,108,108
109,2000,109,109
110,2000,110,110
111,2000,111,111
112,2000,112,112
113,2000,113,113
114,2000,114,114
115,2000,115,115
116,2000,116,116
117,2000,117,117
118,2000,118,118
119,2000,119,119
120,2000,120,120
121,2000,121,121
122,2000,122,122
123,2000,123,123
124,2000,124,124
125,2000,125,125
126,2000,126,126
127,2000,127,127
128,2000,128,128
129,2000,129,129
130,2000,130,130
131,2000,131,131
132,2000,132,132
133,2000,133,133
134,2000,134,134
135,2000,135,135
136,2000,136,136
137,2000,137,137
138,2000,138,138
139,2000,139,139
140,2000,140,140
141,2000,141,141
142,2000,142,142
143,2000,143,143
144,2000,144,144
145,2000,145,145
146,2000,146,146
147,2000,147,147
148,2000,148,148
149,2000,149,149
150,2000,150,150
151,2000,151,151
152,2001,152,0
153,2001,153,1
154,2001,154,2
155,2001,155,3
156,2001,156,4
157,2001,157,5
158,2001,158,6
159,2001,159,7
160,2001,160,8
161,2001,161,9
162,2001,162,10
163,2002,163,0
164,2002,164,1
165,2002,165,2
166,2002,166,3
167,2002,167,4
168,2002,168,5
169,2002,169,6
170,2002,170,7
171,2002,78,8
172,2002,171,9
173,2002,172,10
174,2002,173,11
175,2002,174,12
176,2002,175,13
177,2002,176,14
178,2002,177,15
179,2002,178,16
180,2002,179,17
181,2002,180,18
182,2002,181,19
183,2002,167,20
184,2002,182,21
185,2002,83,22
186,2002,183,23
187,2002,184,24
188,2002,185,25
189,2002,127,26
190,2002,186,27
191,2002,187,28
192,2002,188,29
193,2002,189,30
194,2002,190,31
195,2002,191,32
196,2002,192,33
197,2002,193,34
198,2002,194,35
199,2002,195,36
200,2002,196,37
201,2002,197,38
202,2002,198,39
203,2002,199,40
204,2002,200,41
205,2002,201,42
206,2002,202,43
207,2002,203,44
208,2002,204,45
209,2002,205,46
210,2002,206,47
211,2002,207,48
212,2002,208,49
213,2002,209,50
214,2002,210,51
215,2002,211,52
216,2002,212,53
217,2002,213,54
218,2002,214,55
219,2002,215,56
220,2002,216,57
221,2002,217,58
222,2002,218,59
223,2002,219,60
224,2002,220,61
225,2002,221,62
226,2002,222,63
227,2002,223,64
228,2002,224,65
229,2002,225,66
230,2002,226,67
231,2002,227,68
232,2002,228,69
233,2002,229,70
234,2002,230,71
235,2002,231,72
236,2002,232,73
237,2002,233,74
238,2002,234,75
239,2002,235,76
240,2002,236,77
241,2002,237,78
242,2002,238,79
243,2002,239,80
244,2002,240,81
245,2002,241,82
246,2002,242,83
247,2002,243,84
248,2002,244,85
249,2002,245,86
250,2002,246,87
251,2002,247,88
252,2002,248,89
253,2002,249,90
254,2002,250,91
255,2002,251,92
256,2002,252,93
257,2002,253,94
258,2002,254,95
259,2002,255,96
260,2002,256,97
261,2002,257,98
262,2002,258,99
263,2002,259,100
264,2002,260,101
265,2002,261,102
266,2002,262,103
267,2002,263,104
268,2002,264,105
269,2002,265,106
270,2002,266,107
271,2002,267,108
272,2002,268,109
273,2002,269,110
274,2002,270,111
275,2002,271,112
276,2002,272,113
277,2002,273,114
278,2002,274,115
279,2002,275,116
280,2002,276,117
281,2002,277,118
282,2002,235,119
283,2002,278,120
284,2002,279,121
285,2002,280,122
286,2002,281,123
287,2002,282,124
288,2002,283,125
289,2002,284,126
290,2002,285,127
291,2002,286,128
292,2002,287,129
293,2002,288,130
294,2002,289,131
295,2002,290,132
296,2002,291,133
297,2002,292,134
