,collaborative,duration_ms,modified_at,name,num_albums,num_artists,num_edits,num_followers,num_tracks,pid
0,False,39413578,1446854400,party party,142,116,3,1,152,2000
1,False,2386978,1495584000,summer,10,9,4,1,11,2001
2,False,47356150,1509235200,Rap,128,84,65,4,221,2002
3,False,6630645,1477785600,#tb,33,26,7,1,35,2003
4,False,3716605,1500940800,Disney,19,19,3,1,20,2004
5,False,11078202,1504483200,sad,37,29,14,1,46,2005
6,False,19163217,1502064000,#Lifting ,78,66,50,1,86,2006
7,False,3750699,1431043200,Spain,14,13,5,1,17,2007
8,False,19881409,1509062400,go to :( ,68,62,57,14,82,2008
9,False,5102067,1462492800,Rap,16,10,4,1,19,2009
10,False,15681841,1504742400,Pump up,54,44,43,1,68,2010
11,False,4673687,1439596800,beach vibes,17,15,2,1,23,2011
12,False,5135679,1492732800,bt,20,18,15,1,24,2012
13,False,35063153,1509321600,On the go,139,114,116,1,155,2013
14,False,21765951,1509408000,Chill,42,27,37,4,90,2014
15,False,3845851,1508630400,🔥🔥🔥,16,16,5,1,19,2015
16,False,4454486,1475452800,🔥🔥,13,7,2,1,17,2016
17,False,13027098,1426464000,JOHN MAYER,13,5,3,1,50,2017
18,False,17948024,1507593600,drive,57,48,4,1,73,2018
19,False,4081494,1497484800,Youtube,16,6,7,1,23,2019
20,False,7159234,1499299200,Good vibes,25,22,10,1,28,2020
21,False,16160161,1509235200,Chill Rap,56,37,39,1,73,2021
22,False,2001680,1507766400,This Is What You Came For,9,9,10,1,9,2022
23,False,3309944,1507248000,Rap,12,6,8,1,13,2023
24,False,6016295,1488672000,beachin,27,26,4,1,27,2024
25,False,11112713,1504742400,work,27,15,3,1,38,2025
26,False,6203502,1507075200,Country,27,22,6,1,28,2026
27,False,16688603,1504224000,Werk,62,52,10,3,77,2027
28,False,4394376,1492819200,april 2017,18,18,14,2,19,2028
29,False,4484510,1488240000,February 2017,16,15,16,1,18,2029
30,False,2751069,1450828800,popcorn,10,10,3,2,10,2030
31,False,13500739,1464998400,Music,45,29,10,1,61,2031
32,True,4921155,1455840000,** some tunes,13,12,2,1,14,2032
33,False,6814302,1489104000,Shred,27,25,7,1,29,2033
34,False,18162922,1449792000,2015 Top Tracks,61,55,2,1,100,2034
35,True,7006928,1507507200,Vocaloid,18,29,3,2,29,2035
36,False,12270137,1457740800,The Best Songs,26,13,13,1,60,2036
37,False,15812734,1422921600,Rando,34,28,16,2,67,2037
38,False,14293925,1509321600,spanish,51,37,6,1,65,2038
39,False,37148153,1370476800,Love <3,58,47,6,1,164,2039
40,False,10970628,1506556800,Beep Boop,47,39,13,2,51,2040
41,False,11952737,1406678400,Random tunes,32,25,5,1,40,2041
42,False,10709337,1508716800,Throwback,43,36,23,1,46,2042
43,False,39944111,1437868800,Work B**ch,144,117,120,3,170,2043
44,False,32505924,1507680000,country,123,77,56,1,150,2044
45,False,31381671,1504224000,new country,89,48,16,1,145,2045
46,False,10898102,1508198400,Shower🚿,42,31,16,2,45,2046
47,False,27845577,1504569600,christmas time ,58,43,16,2,178,2047
48,False,3415630,1503100800,sad,11,9,3,1,16,2048
49,False,31582736,1495584000,Spanish,119,95,66,1,132,2049
50,False,25381867,1463356800,Beach day,92,85,28,4,93,2050
51,False,14409734,1501027200,energy,65,55,14,1,67,2051
52,False,9082715,1469145600,what ,31,27,11,1,40,2052
53,False,7647998,1475625600,reggae/ska,20,15,10,1,33,2053
54,False,6056343,1504137600,hate,29,28,7,1,29,2054
55,False,22055489,1500940800,Instumental,54,32,26,1,89,2055
56,False,3629562,1452384000,Taxi!,16,16,3,1,17,2056
57,False,13667059,1427846400,STuDy,40,25,3,1,73,2057
58,False,5286989,1486512000,Wait,19,16,2,1,20,2058
59,False,4463418,1401494400,Christian Favs,8,6,4,1,20,2059
60,False,22753608,1394236800,House,39,19,11,1,80,2060
61,False,18272291,1475798400,tagalog songs,42,28,8,1,70,2061
62,False,8869279,1499126400,goodies,25,13,7,3,33,2062
63,False,14124198,1481500800,Christmas jamz,46,44,6,2,74,2063
64,False,7630179,1509062400,simpin :(,26,21,2,1,33,2064
65,False,4375653,1496620800,Workout,20,20,10,1,20,2065
66,False,18667210,1455148800,Love,76,51,2,1,77,2066
67,False,21482027,1434499200,rappy,49,40,38,1,89,2067
68,True,17289039,1412380800,DAt new new,63,55,38,5,76,2068
69,False,12786587,1375574400,Fiji,29,17,7,2,53,2069
70,False,10099772,1493424000,222,42,34,2,1,48,2070
71,False,26661055,1507334400,GALa,111,92,10,5,116,2071
72,False,8660772,1492646400,Lit ,33,30,19,1,39,2072
73,False,18555972,1500076800,oldies but goodies,65,51,18,1,75,2073
74,False,8606727,1493769600,Tejano,26,12,4,1,41,2074
75,False,6850802,1482278400,K pop,28,16,25,2,32,2075
76,False,6283973,1495929600,Spring 17,23,22,19,1,28,2076
77,False,17543450,1474588800,lento,49,35,15,3,85,2077
78,False,8815050,1507507200,bangers,31,18,21,1,37,2078
79,False,13045427,1424390400,Lullaby,44,41,28,1,47,2079
80,False,12892664,1497398400,Old School Hip Hop,44,31,5,1,53,2080
81,False,52805126,1508284800,R&B,172,118,60,1,210,2081
82,False,9311051,1509408000,Random likes,36,33,27,1,41,2082
83,False,25746123,1454284800,chill,100,97,24,1,100,2083
84,False,9603495,1381017600,Random mix ,36,28,17,1,40,2084
85,False,4706054,1506384000,Chill,19,18,3,1,20,2085
86,False,34210734,1491523200,Feels,56,45,21,1,139,2086
87,False,11761011,1502928000,baby girl,29,11,3,2,57,2087
88,False,20860324,1508803200,throwback,79,56,3,1,93,2088
89,False,6954183,1430784000,layback,20,16,2,1,33,2089
90,False,27192664,1498694400,favorito,78,39,15,1,113,2090
91,False,44932433,1509321600,chill,177,134,74,1,208,2091
92,False,20008086,1509408000,❄️,77,61,53,3,94,2092
93,False,36111787,1509148800,Heavy ,67,31,107,1,170,2093
94,False,13268910,1460764800,Me,50,41,6,3,60,2094
