collaborative,duration_ms,modified_at,name,num_albums,num_artists,num_edits,num_followers,num_tracks,pid
false,11532414,1493424000,Throwbacks,47,37,6,1,52,0
false,11656470,1506556800,Awesome Playlist,23,21,5,1,39,1
false,14039958,1505692800,korean,51,31,18,1,64,2
false,28926058,1501027200,mat,107,86,4,1,126,3
false,4335282,1401667200,90s,16,16,7,2,17,4
false,19156557,1430956800,Wedding,71,56,3,1,80,5
false,3408479,1477094400,I Put A Spell On You,15,13,2,1,16,6
false,12674796,1509321600,2017,52,48,38,1,53,7
false,9948921,1508976000,BOP,37,23,21,2,46,8
false,4297488,1501804800,old country,20,18,10,1,21,9
false,16403398,1509321600,abby,60,40,36,2,72,10
false,35655891,1365379200,VIBE,117,99,16,1,134,11
false,1981349,1481587200,relax,9,9,3,1,9,12
false,3039124,1509062400,sleep,13,12,5,1,13,13
false,25837498,1382572800,90's,79,61,3,1,103,14
false,1818256,1432684800,New Songs,5,3,3,1,7,15
false,24695913,1491696000,slow hands,94,81,45,1,105,16
false,17627215,1465430400,Mom's playlist,69,61,11,1,79,17
false,15917464,1507334400,SARAH,66,55,18,1,68,18
false,21627256,1430956800,melancholy,82,70,54,1,85,19
false,2165531,1509494400,mixtape,9,6,11,3,14,20
false,3709224,1479081600,Sad Songs,15,15,8,1,15,21
false,9077152,1509408000,fall '17,39,37,15,2,42,22
false,5843925,1506470400,✔️,16,7,4,1,20,23
false,1693822,1475971200,Twenty one pilots,5,3,4,1,7,24
false,9067261,1488412800,run it,38,31,8,2,41,25
false,6442086,1425427200,Winter 2014,20,15,7,1,26,26
false,2902584,1508803200,smooth,11,8,5,1,12,27
false,18831207,1509062400,Yeet,57,37,26,7,81,28
false,8059613,1506384000,groovy,39,39,16,1,40,29
false,34463029,1430265600,Garage Rock,17,9,6,1,157,30
false,20594090,1495324800,Running 2.0,94,83,34,1,97,31
false,24656509,1502928000,acoustic,85,72,9,1,106,32
false,4295055,1431302400,morning,14,11,7,1,17,33
false,18149784,1481328000,good good,72,65,39,1,80,34
false,15247117,1507593600,Good Vibes,58,52,56,1,70,35
false,1895637,1384732800,indie rock,9,5,3,1,9,36
false,16626596,1456790400,Hits,69,55,7,1,72,37
false,12636678,1503446400,tb,51,42,16,1,53,38
false,12611044,1479600000,Country,34,17,14,1,58,39
false,18672695,1490659200,2020,80,71,27,6,85,40
false,49193451,1496448000,Belters,105,55,13,1,209,41
false,33759110,1490572800,Road Trippin',131,106,51,2,158,42
false,4581750,1398124800,Country,9,9,5,1,21,43
false,6837317,1430611200,taylor swift,29,21,18,3,33,44
false,18755470,1498521600,angst,69,54,5,1,76,45
false,2724593,1434412800,Running 2,11,8,2,1,11,46
false,3857335,1465084800,Spring 2016,15,14,15,1,15,47
false,7163190,1498176000,Country,20,13,12,1,32,48
false,15097154,1508544000,Gospel,37,23,22,1,45,49
false,11777971,1430352000,SB,40,31,3,1,55,50
false,12833397,1489881600,Kevin,36,25,21,1,54,51
false,2647155,1508976000,Christmas,14,10,2,5,15,52
false,25223598,1504656000,NB,93,75,8,4,105,53
false,1185919,1462665600,Smooth Jazz,5,4,4,1,5,54
false,33994572,1488844800,Tennessee,74,27,20,3,151,55
false,5036761,1475971200,funky,18,13,12,1,19,56
false,4593106,1468022400,spring 16,16,15,12,1,19,57
false,7640168,1379030400,Gates,4,3,3,2,38,58
false,29179125,1492905600,Favorite Songs,95,57,53,3,136,59
false,16331347,1492473600,Ski,64,64,30,2,66,60
false,2891358,1478822400,Country,9,8,7,1,13,61
false,8082346,1505779200,hype,32,23,20,2,33,62
false,8507708,1503532800,Awesome Mix,36,34,2,1,38,63
false,21722739,1465862400,Elizabeth,73,61,17,1,105,64
false,27865852,1509235200,PlayStation,108,87,27,1,133,65
false,17574203,1486425600,Ashley,80,72,4,1,81,66
false,1676469,1509148800,chill,8,7,5,1,8,67
false,40691418,1508976000,xx,90,47,20,1,174,68
false,4255622,1507161600,art class,15,13,11,1,18,69
false,16959911,1394755200,Random Tunes,59,47,37,1,74,70
false,5819956,1472947200,boat,24,23,3,1,26,71
false,44051231,1471996800,spanish jams,139,83,22,1,197,72
false,7571761,1494028800,new,32,31,12,1,34,73
false,1420634,1464998400,CR,5,5,2,1,5,74
false,3386398,1463184000,Run!!,14,12,2,2,14,75
false,6964996,1494288000,winter '17,31,29,19,4,32,76
false,6482548,1425081600,Workout,15,12,10,1,24,77
false,5141065,1495152000,Traps,15,16,4,1,16,78
false,4064642,1483401600,Dope,15,14,2,1,16,79
false,16146953,1496793600,Chill,54,30,10,1,66,80
false,16180860,1381795200,rap,38,24,11,1,64,81
false,8803027,1497830400,Gospel,16,9,8,1,25,82
false,15764803,1498348800,Florida,48,22,4,2,69,83
false,10457609,1500940800,Workout2,35,26,17,1,39,84
