track_uri1,album_name,album_uri,artist_name,artist_uri,duration_ms,track_name,track_uri,tid
spotify:track:2s8SzxTOJM6qUrxKmou4BK,Lost & Found Compilation,spotify:album:0qvHNp5Z6Lq122dZKk9ygN,DJ Cam,spotify:artist:1hwAhXzyuEUjug2pyNVSvg,251373,Show Your Love,spotify:track:2s8SzxTOJM6qUrxKmou4BK,8589934592
spotify:track:4pdLZsxq0y5oJDb6Cxlokw,Things Fall Apart,spotify:album:0qbl8aNaCUOvX8HGsZYLfh,The Roots,spotify:artist:78xUyw6FkVZrRAtziFdtdu,259306,You Got Me,spotify:track:4pdLZsxq0y5oJDb6Cxlokw,8589934593
spotify:track:5hwh37sTi84MVhCBMWzhGE,The Intro,spotify:album:4gS6995dvPQJf80VBtoxi8,Ruth B.,spotify:artist:2WzaAvm2bBCf4pEhyuDgCY,207973,Superficial Love,spotify:track:5hwh37sTi84MVhCBMWzhGE,8589934594
spotify:track:1X0Xqb78bHxwTB0CgOlpR5,Everything You Want,spotify:album:4YLvPRA05HFduTusoq4Sne,Vertical Horizon,spotify:artist:6Hizgjo92FnMp8wGaRUNTn,257066,Everything You Want,spotify:track:1X0Xqb78bHxwTB0CgOlpR5,8589934595
spotify:track:69NusnKhplV2lXHyPzG7Mu,Fuk Wat They Talkin Bout,spotify:album:6p6Wab5m1yqyp4NzRevTft,Tyga,spotify:artist:5LHRHt1k9lMyONurDHEdrp,201535,Supawifey,spotify:track:69NusnKhplV2lXHyPzG7Mu,8589934596
spotify:track:1rgUa2OKsPgMWpTwWC9hPV,Remember When,spotify:album:5xzCguZueCPNgl8sp2vR7t,The Orwells,spotify:artist:7ia4FaCVsbXvhVwagCJk7l,148282,Suspended,spotify:track:1rgUa2OKsPgMWpTwWC9hPV,8589934597
spotify:track:1lsxBwhhgm0xUYCQwISwdB,Celebration Rock,spotify:album:2sY9WYVH022ulyAYaqvXLW,Japandroids,spotify:artist:2WcCoPxAWFNSCvsFPrpf30,242235,The Nights of Wine and Roses,spotify:track:1lsxBwhhgm0xUYCQwISwdB,8589934598
spotify:track:1GPWHf45DwSziB91p9Phbm,I'm Sayin' (feat. Rich Homie Quan),spotify:album:4kiBGPnmexgABakZacTOMp,Omarion,spotify:artist:0f5nVCcR06GX8Qikz0COtT,202200,I'm Sayin' (feat. Rich Homie Quan),spotify:track:1GPWHf45DwSziB91p9Phbm,8589934599
spotify:track:1jk1NoNINfTSdfzBtpEIMp,Original Album Classics,spotify:album:3G3ElgskQS2wIQ8zA1MZ0r,Backstreet Boys,spotify:artist:5rSXSAkZ67PYJSvpUpkOr7,230093,Shape of My Heart,spotify:track:1jk1NoNINfTSdfzBtpEIMp,8589934600
spotify:track:3k2Zv2luPZHpxfFjGpr4Mm,Exile On Mainstream,spotify:album:07cWSvrkFTgaQGYh7M1cCt,Matchbox Twenty,spotify:artist:3Ngh2zDBRPEriyxQDAMKd1,210040,How Far We've Come,spotify:track:3k2Zv2luPZHpxfFjGpr4Mm,8589934601
spotify:track:5X2jIyGY95YNF3kmeOg1V1,Purpose By Design,spotify:album:2mI4JRPhTGEZXw3g6dBCtA,Fred Hammond,spotify:artist:2ndyVAdV9UqF1XjyTJt484,327386,You Are The Living Word,spotify:track:5X2jIyGY95YNF3kmeOg1V1,8589934602
spotify:track:6mcu7D7QuABVwUGDwovOEh,Get Rich Or Die Tryin',spotify:album:5G5rgQHzdQnw32SI0WjIo5,50 Cent,spotify:artist:3q7HBObVc0L8jNeTe5Gofh,196626,If I Can't,spotify:track:6mcu7D7QuABVwUGDwovOEh,8589934603
spotify:track:6V2D8Lls36APk0THDjBDfE,Nothing Was The Same,spotify:album:2gXTTQ713nCELgPOS0qWyt,Drake,spotify:artist:3TVXtAsR1Inumwj472S9r4,174133,Started From the Bottom,spotify:track:6V2D8Lls36APk0THDjBDfE,8589934604
